lat,lon,temp-change
-33.75,112.5,0.541626
-33.75,114.375,0.7174072
-33.75,116.25,0.8720398
-33.75,118.125,0.90652466
-33.75,120.0,0.96920776
-33.75,121.875,0.8744812
-33.75,123.75,0.74069214
-33.75,125.625,0.57839966
-33.75,127.5,0.55200195
-33.75,129.375,0.5155029
-33.75,131.25,0.5184326
-33.75,133.125,0.7675476
-33.75,135.0,0.7775879
-33.75,136.875,0.7963562
-33.75,138.75,0.7651367
-33.75,140.625,0.7762146
-33.75,142.5,0.88360596
-33.75,144.375,0.96533203
-33.75,146.25,0.9986267
-33.75,148.125,1.0654602
-33.75,150.0,0.81954956
-33.75,151.875,0.6576538
-33.75,153.75,0.64593506
-32.5,112.5,0.5744629
-32.5,114.375,0.803772
-32.5,116.25,0.9985657
-32.5,118.125,1.0668335
-32.5,120.0,1.0349731
-32.5,121.875,0.99679565
-32.5,123.75,0.89276123
-32.5,125.625,0.95355225
-32.5,127.5,0.88882446
-32.5,129.375,0.8121338
-32.5,131.25,0.7798462
-32.5,133.125,0.7522888
-32.5,135.0,0.7644348
-32.5,136.875,0.8193054
-32.5,138.75,0.8137512
-32.5,140.625,0.83151245
-32.5,142.5,0.90808105
-32.5,144.375,1.0448914
-32.5,146.25,1.0737305
-32.5,148.125,1.1210632
-32.5,150.0,1.0241089
-32.5,151.875,0.71713257
-32.5,153.75,0.6691284
-31.25,112.5,0.59832764
-31.25,114.375,0.87338257
-31.25,116.25,0.9979553
-31.25,118.125,1.0769653
-31.25,120.0,1.0743713
-31.25,121.875,0.9707947
-31.25,123.75,0.90771484
-31.25,125.625,1.0318909
-31.25,127.5,0.87042236
-31.25,129.375,0.82974243
-31.25,131.25,0.7536621
-31.25,133.125,0.7413025
-31.25,135.0,0.74005127
-31.25,136.875,0.79678345
-31.25,138.75,0.86535645
-31.25,140.625,0.8078613
-31.25,142.5,0.8871155
-31.25,144.375,1.0523376
-31.25,146.25,1.1039124
-31.25,148.125,1.1481934
-31.25,150.0,1.0576172
-31.25,151.875,0.726532
-31.25,153.75,0.65966797
-30.0,112.5,0.61328125
-30.0,114.375,0.9748535
-30.0,116.25,1.1452637
-30.0,118.125,1.0586853
-30.0,120.0,1.0844116
-30.0,121.875,1.016449
-30.0,123.75,1.0798645
-30.0,125.625,0.9990845
-30.0,127.5,0.87216187
-30.0,129.375,0.80081177
-30.0,131.25,0.70269775
-30.0,133.125,0.6923218
-30.0,135.0,0.76168823
-30.0,136.875,0.83288574
-30.0,138.75,0.77001953
-30.0,140.625,0.9211426
-30.0,142.5,0.97039795
-30.0,144.375,1.0582275
-30.0,146.25,1.0908813
-30.0,148.125,1.0611267
-30.0,150.0,1.0323792
-30.0,151.875,0.78448486
-30.0,153.75,0.64505005
-28.75,112.5,0.7331848
-28.75,114.375,1.0423889
-28.75,116.25,1.157898
-28.75,118.125,1.1265259
-28.75,120.0,1.1421204
-28.75,121.875,1.1192017
-28.75,123.75,1.0668335
-28.75,125.625,0.99264526
-28.75,127.5,0.8981018
-28.75,129.375,0.7966614
-28.75,131.25,0.64367676
-28.75,133.125,0.5633545
-28.75,135.0,0.7971802
-28.75,136.875,0.7680664
-28.75,138.75,0.86676025
-28.75,140.625,0.9532471
-28.75,142.5,1.0701599
-28.75,144.375,1.1204834
-28.75,146.25,1.0813599
-28.75,148.125,1.0563354
-28.75,150.0,1.0244446
-28.75,151.875,0.66900635
-28.75,153.75,0.617218
-27.5,112.5,0.83999634
-27.5,114.375,1.1152344
-27.5,116.25,1.2068481
-27.5,118.125,1.2121277
-27.5,120.0,1.1584473
-27.5,121.875,1.0913391
-27.5,123.75,1.0289001
-27.5,125.625,0.9017334
-27.5,127.5,0.88119507
-27.5,129.375,0.71969604
-27.5,131.25,0.584198
-27.5,133.125,0.6616516
-27.5,135.0,0.7702637
-27.5,136.875,0.84002686
-27.5,138.75,1.0292664
