lat,lon,temp-change
-43.679,142.606,0.279
-43.679,142.874,0.284
-43.679,143.142,0.29
-43.679,143.41,0.296
-43.679,143.678,0.302
-43.679,143.946,0.308
-43.679,144.214,0.314
-43.679,144.483,0.321
-43.679,144.751,0.327
-43.679,145.019,0.333
-43.679,145.287,0.34
-43.679,145.555,0.349
-43.679,145.823,0.357
-43.679,146.091,0.365
-43.679,146.359,0.373
-43.679,146.627,0.382
-43.679,146.895,0.39
-43.679,147.163,0.4
-43.679,147.431,0.412
-43.679,147.699,0.424
-43.679,147.967,0.436
-43.679,148.235,0.448
-43.679,148.503,0.459
-43.679,148.771,0.471
-43.679,149.039,0.481
-43.679,149.308,0.49
-43.679,149.576,0.498
-43.679,149.844,0.507
-43.679,150.112,0.515
-43.679,150.38,0.524
-43.679,150.648,0.533
-43.679,150.916,0.537
-43.679,151.184,0.538
-43.679,151.452,0.538
-43.679,151.72,0.539
-43.679,151.988,0.54
-43.679,152.256,0.54
-43.679,152.524,0.541
-43.679,152.792,0.538
-43.679,153.06,0.532
-43.679,153.328,0.526
-43.679,153.596,0.519
-43.679,153.864,0.513
-43.679,154.133,0.507
-43.679,154.401,0.501
-43.679,154.669,0.495
-43.679,154.937,0.489
-43.679,155.205,0.483
-43.679,155.473,0.477
-43.679,155.741,0.471
-43.368,110.171,0.357
-43.368,110.439,0.357
-43.368,110.707,0.356
-43.368,110.975,0.356
-43.368,111.243,0.356
-43.368,111.512,0.355
-43.368,111.78,0.355
-43.368,112.048,0.355
-43.368,112.316,0.354
-43.368,112.584,0.354
-43.368,112.852,0.353
-43.368,113.12,0.353
-43.368,113.388,0.353
-43.368,113.656,0.353
-43.368,113.924,0.352
-43.368,114.192,0.352
-43.368,114.46,0.352
-43.368,114.728,0.352
-43.368,114.996,0.352
-43.368,115.264,0.351
-43.368,115.532,0.351
-43.368,115.8,0.35
-43.368,116.069,0.35
-43.368,116.337,0.349
-43.368,116.605,0.349
-43.368,116.873,0.348
-43.368,117.141,0.348
-43.368,117.409,0.348
-43.368,117.677,0.348
-43.368,117.945,0.347
-43.368,118.213,0.347
-43.368,118.481,0.347
-43.368,118.749,0.347
-43.368,119.017,0.347
-43.368,119.285,0.347
-43.368,119.553,0.347
-43.368,119.821,0.347
-43.368,120.089,0.347
-43.368,120.357,0.348
-43.368,120.625,0.348
-43.368,120.894,0.348
-43.368,121.162,0.349
-43.368,121.43,0.35
-43.368,121.698,0.35
-43.368,121.966,0.351
-43.368,122.234,0.351
-43.368,122.502,0.352
-43.368,122.77,0.352
-43.368,123.038,0.353
-43.368,123.306,0.353
-43.368,123.574,0.354
-43.368,123.842,0.354
-43.368,124.11,0.355
-43.368,124.378,0.355
-43.368,124.646,0.356
-43.368,124.914,0.357
-43.368,125.182,0.358
-43.368,125.45,0.359
-43.368,125.719,0.36
-43.368,125.987,0.361
-43.368,126.255,0.361
-43.368,126.523,0.363
-43.368,126.791,0.364
-43.368,127.059,0.365
-43.368,127.327,0.366
-43.368,127.595,0.368
-43.368,127.863,0.369
-43.368,128.131,0.37
-43.368,128.399,0.371
-43.368,128.667,0.372
-43.368,128.935,0.373
-43.368,129.203,0.373
-43.368,129.471,0.374
-43.368,129.739,0.375
-43.368,130.007,0.376
-43.368,130.276,0.377
-43.368,130.544,0.377
-43.368,130.812,0.378
-43.368,131.08,0.378
-43.368,131.348,0.379
-43.368,131.616,0.379
-43.368,131.884,0.38
-43.368,132.152,0.38
-43.368,132.42,0.379
-43.368,132.688,0.378
-43.368,132.956,0.378
-43.368,133.224,0.377
-43.368,133.492,0.376
-43.368,133.76,0.376
-43.368,134.028,0.372
-43.368,134.296,0.368
-43.368,134.564,0.363
-43.368,134.832,0.359
-43.368,135.101,0.354
-43.368,135.369,0.35
-43.368,135.637,0.345
-43.368,135.905,0.338
-43.368,136.173,0.329
-43.368,136.441,0.32
-43.368,136.709,0.311
-43.368,136.977,0.302
-43.368,137.245,0.293
-43.368,137.513,0.284
-43.368,137.781,0.277
-43.368,138.049,0.272
-43.368,138.317,0.266
-43.368,138.585,0.26
-43.368,138.853,0.255
-43.368,139.121,0.249
-43.368,139.389,0.243
-43.368,139.657,0.243
-43.368,139.926,0.244
-43.368,140.194,0.246
-43.368,140.462,0.247
-43.368,140.73,0.248
-43.368,140.998,0.25
-43.368,141.266,0.251
-43.368,141.534,0.255
-43.368,141.802,0.261
-43.368,142.07,0.266
-43.368,142.338,0.271
-43.368,142.606,0.277
-43.368,142.874,0.282
-43.368,143.142,0.287
-43.368,143.41,0.293
-43.368,143.678,0.298
-43.368,143.946,0.304
-43.368,144.214,0.309
-43.368,144.483,0.315
-43.368,144.751,0.32
-43.368,145.019,0.326
-43.368,145.287,0.333
-43.368,145.555,0.342
-43.368,145.823,0.351
-43.368,146.091,0.36
-43.368,146.359,0.369
-43.368,146.627,0.377
-43.368,146.895,0.386
-43.368,147.163,0.396
-43.368,147.431,0.407
-43.368,147.699,0.419
-43.368,147.967,0.43
-43.368,148.235,0.441
-43.368,148.503,0.452
-43.368,148.771,0.463
-43.368,149.039,0.473
-43.368,149.308,0.482
-43.368,149.576,0.49
-43.368,149.844,0.499
-43.368,150.112,0.508
-43.368,150.38,0.517
-43.368,150.648,0.525
-43.368,150.916,0.53
-43.368,151.184,0.532
-43.368,151.452,0.533
-43.368,151.72,0.534
-43.368,151.988,0.535
-43.368,152.256,0.536
-43.368,152.524,0.537
-43.368,152.792,0.535
-43.368,153.06,0.529
-43.368,153.328,0.523
-43.368,153.596,0.517
-43.368,153.864,0.511
-43.368,154.133,0.505
-43.368,154.401,0.499
-43.368,154.669,0.493
-43.368,154.937,0.487
-43.368,155.205,0.482
-43.368,155.473,0.476
-43.368,155.741,0.47
-43.057,110.171,0.355
-43.057,110.439,0.355
-43.057,110.707,0.355
-43.057,110.975,0.354
-43.057,111.243,0.354
-43.057,111.512,0.354
-43.057,111.78,0.354
-43.057,112.048,0.354
-43.057,112.316,0.353
-43.057,112.584,0.353
-43.057,112.852,0.353
-43.057,113.12,0.353
-43.057,113.388,0.353
-43.057,113.656,0.352
-43.057,113.924,0.352
-43.057,114.192,0.352
-43.057,114.46,0.352
-43.057,114.728,0.352
-43.057,114.996,0.352
-43.057,115.264,0.352
-43.057,115.532,0.351
-43.057,115.8,0.351
-43.057,116.069,0.35
-43.057,116.337,0.35
-43.057,116.605,0.349
-43.057,116.873,0.349
-43.057,117.141,0.349
-43.057,117.409,0.349
-43.057,117.677,0.349
-43.057,117.945,0.349
-43.057,118.213,0.348
-43.057,118.481,0.348
-43.057,118.749,0.348
-43.057,119.017,0.348
-43.057,119.285,0.349
-43.057,119.553,0.349
-43.057,119.821,0.349
-43.057,120.089,0.35
-43.057,120.357,0.35
-43.057,120.625,0.35
-43.057,120.894,0.351
-43.057,121.162,0.351
