Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,087031,1963,10,11.0,Y
IDCJAC0004,087031,1963,11,9.5,Y
IDCJAC0004,087031,1963,12,12.8,Y
IDCJAC0004,087031,1964,01,12.0,Y
IDCJAC0004,087031,1964,02,13.1,Y
IDCJAC0004,087031,1964,03,10.8,Y
IDCJAC0004,087031,1964,04,11.1,Y
IDCJAC0004,087031,1964,05,7.2,Y
IDCJAC0004,087031,1964,06,6.9,Y
IDCJAC0004,087031,1964,07,5.8,Y
IDCJAC0004,087031,1964,08,6.2,Y
IDCJAC0004,087031,1964,09,6.6,Y
IDCJAC0004,087031,1964,10,7.7,Y
IDCJAC0004,087031,1964,11,9.9,Y
IDCJAC0004,087031,1964,12,10.3,Y
IDCJAC0004,087031,1965,01,11.3,Y
IDCJAC0004,087031,1965,02,13.5,Y
IDCJAC0004,087031,1965,03,10.9,Y
IDCJAC0004,087031,1965,04,8.6,Y
IDCJAC0004,087031,1965,05,7.7,Y
IDCJAC0004,087031,1965,06,4.7,Y
IDCJAC0004,087031,1965,07,3.6,Y
IDCJAC0004,087031,1965,08,5.8,Y
IDCJAC0004,087031,1965,09,7.0,Y
IDCJAC0004,087031,1965,10,8.6,Y
IDCJAC0004,087031,1965,11,9.0,Y
IDCJAC0004,087031,1965,12,14.1,Y
IDCJAC0004,087031,1966,01,13.8,Y
IDCJAC0004,087031,1966,02,13.7,Y
IDCJAC0004,087031,1966,03,12.6,Y
IDCJAC0004,087031,1966,04,8.4,Y
IDCJAC0004,087031,1966,05,7.7,Y
IDCJAC0004,087031,1966,06,3.8,Y
IDCJAC0004,087031,1966,07,4.0,Y
IDCJAC0004,087031,1966,08,4.3,Y
IDCJAC0004,087031,1966,09,6.7,Y
IDCJAC0004,087031,1966,10,7.9,Y
IDCJAC0004,087031,1966,11,9.8,Y
IDCJAC0004,087031,1966,12,11.5,Y
IDCJAC0004,087031,1967,01,12.3,Y
IDCJAC0004,087031,1967,02,14.8,Y
IDCJAC0004,087031,1967,03,11.1,Y
IDCJAC0004,087031,1967,04,9.3,Y
IDCJAC0004,087031,1967,05,7.1,Y
IDCJAC0004,087031,1967,06,5.1,Y
IDCJAC0004,087031,1967,07,4.2,Y
IDCJAC0004,087031,1967,08,4.6,Y
IDCJAC0004,087031,1967,09,5.7,Y
IDCJAC0004,087031,1967,10,7.6,Y
IDCJAC0004,087031,1967,11,9.5,Y
IDCJAC0004,087031,1967,12,10.9,Y
IDCJAC0004,087031,1968,01,13.6,Y
IDCJAC0004,087031,1968,02,15.4,Y
IDCJAC0004,087031,1968,03,14.1,Y
IDCJAC0004,087031,1968,04,12.3,Y
IDCJAC0004,087031,1968,05,8.3,Y
IDCJAC0004,087031,1968,06,5.7,Y
IDCJAC0004,087031,1968,07,4.6,Y
IDCJAC0004,087031,1968,08,4.7,Y
IDCJAC0004,087031,1968,09,5.1,Y
IDCJAC0004,087031,1968,10,7.8,Y
IDCJAC0004,087031,1968,11,8.8,Y
IDCJAC0004,087031,1968,12,12.1,Y
IDCJAC0004,087031,1969,01,13.8,Y
IDCJAC0004,087031,1969,02,16.3,Y
IDCJAC0004,087031,1969,03,13.2,Y
IDCJAC0004,087031,1969,04,10.0,Y
IDCJAC0004,087031,1969,05,6.7,Y
IDCJAC0004,087031,1969,06,3.9,Y
IDCJAC0004,087031,1969,07,5.0,Y
IDCJAC0004,087031,1969,08,6.1,Y
IDCJAC0004,087031,1969,09,5.8,Y
IDCJAC0004,087031,1969,10,8.8,Y
IDCJAC0004,087031,1969,11,10.3,Y
IDCJAC0004,087031,1969,12,10.6,Y
IDCJAC0004,087031,1970,01,13.2,Y
IDCJAC0004,087031,1970,02,13.5,Y
IDCJAC0004,087031,1970,03,12.6,Y
IDCJAC0004,087031,1970,04,10.9,Y
IDCJAC0004,087031,1970,05,7.3,Y
IDCJAC0004,087031,1970,06,5.9,Y
IDCJAC0004,087031,1970,07,5.0,Y
IDCJAC0004,087031,1970,08,5.0,Y
IDCJAC0004,087031,1970,09,5.0,Y
IDCJAC0004,087031,1970,10,7.0,Y
IDCJAC0004,087031,1970,11,10.1,Y
IDCJAC0004,087031,1970,12,11.9,Y
IDCJAC0004,087031,1971,01,14.6,Y
IDCJAC0004,087031,1971,02,15.5,Y
IDCJAC0004,087031,1971,03,14.1,Y
IDCJAC0004,087031,1971,04,10.9,Y
IDCJAC0004,087031,1971,05,6.5,Y
IDCJAC0004,087031,1971,06,5.7,Y
IDCJAC0004,087031,1971,07,3.7,Y
IDCJAC0004,087031,1971,08,4.3,Y
IDCJAC0004,087031,1971,09,5.6,Y
IDCJAC0004,087031,1971,10,7.3,Y
IDCJAC0004,087031,1971,11,9.4,Y
IDCJAC0004,087031,1971,12,12.0,Y
IDCJAC0004,087031,1972,01,14.7,Y
IDCJAC0004,087031,1972,02,15.2,Y
IDCJAC0004,087031,1972,03,11.5,Y
IDCJAC0004,087031,1972,04,9.4,Y
IDCJAC0004,087031,1972,05,6.3,Y
IDCJAC0004,087031,1972,06,3.0,Y
IDCJAC0004,087031,1972,07,4.7,Y
IDCJAC0004,087031,1972,08,6.0,Y
IDCJAC0004,087031,1972,09,7.4,Y
IDCJAC0004,087031,1972,10,8.6,Y
IDCJAC0004,087031,1972,11,10.2,Y
IDCJAC0004,087031,1972,12,12.9,Y
IDCJAC0004,087031,1973,01,15.4,Y
IDCJAC0004,087031,1973,02,15.1,Y
IDCJAC0004,087031,1973,03,11.3,Y
IDCJAC0004,087031,1973,04,10.7,Y
IDCJAC0004,087031,1973,05,7.8,Y
IDCJAC0004,087031,1973,06,4.6,Y
IDCJAC0004,087031,1973,07,3.7,Y
IDCJAC0004,087031,1973,08,5.3,Y
IDCJAC0004,087031,1973,09,7.1,Y
IDCJAC0004,087031,1973,10,9.1,Y
IDCJAC0004,087031,1973,11,10.9,Y
IDCJAC0004,087031,1973,12,13.3,Y
IDCJAC0004,087031,1974,01,16.1,Y
IDCJAC0004,087031,1974,02,15.1,Y
IDCJAC0004,087031,1974,03,15.3,Y
IDCJAC0004,087031,1974,04,11.9,Y
IDCJAC0004,087031,1974,05,9.5,Y
IDCJAC0004,087031,1974,06,6.2,Y
IDCJAC0004,087031,1974,07,6.3,Y
IDCJAC0004,087031,1974,08,5.7,Y
IDCJAC0004,087031,1974,09,7.0,Y
IDCJAC0004,087031,1974,10,8.6,Y
IDCJAC0004,087031,1974,11,8.9,Y
IDCJAC0004,087031,1974,12,10.1,Y
IDCJAC0004,087031,1975,01,11.7,Y
IDCJAC0004,087031,1975,02,14.4,Y
IDCJAC0004,087031,1975,03,11.6,Y
IDCJAC0004,087031,1975,04,9.8,Y
IDCJAC0004,087031,1975,05,9.4,Y
IDCJAC0004,087031,1975,06,5.5,Y
IDCJAC0004,087031,1975,07,6.9,Y
IDCJAC0004,087031,1975,08,6.4,Y
IDCJAC0004,087031,1975,09,8.0,Y
IDCJAC0004,087031,1975,10,10.2,Y
IDCJAC0004,087031,1975,11,12.3,Y
IDCJAC0004,087031,1975,12,14.0,Y
IDCJAC0004,087031,1976,01,14.3,Y
IDCJAC0004,087031,1976,02,15.7,Y
IDCJAC0004,087031,1976,03,13.5,Y
IDCJAC0004,087031,1976,04,10.5,Y
IDCJAC0004,087031,1976,05,7.3,Y
IDCJAC0004,087031,1976,06,5.8,Y
IDCJAC0004,087031,1976,07,4.7,Y
IDCJAC0004,087031,1976,08,5.2,Y
IDCJAC0004,087031,1976,09,7.2,Y
IDCJAC0004,087031,1976,10,8.3,Y
